arrStationName,arrTime,dptDate,dptStationName,dptTime,interval,seats,trainNo
香港西九龙,17:16,2019-02-06,广州南,16:12,1小时4分,"{'商务座': {'price': 452, 'count': 17, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6521
香港西九龙,18:08,2019-02-06,广州南,16:52,1小时16分,"{'商务座': {'price': 452, 'count': 9, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6551
香港西九龙,18:42,2019-02-06,广州南,17:43,59分,"{'二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6585
香港西九龙,18:58,2019-02-06,广州南,18:06,52分,"{'商务座': {'price': 645, 'count': 3, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 344, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G79
香港西九龙,19:31,2019-02-06,广州南,18:27,1小时4分,"{'商务座': {'price': 452, 'count': 13, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6529
香港西九龙,19:41,2019-02-06,广州南,18:37,1小时4分,"{'商务座': {'price': 452, 'count': 16, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6513
香港西九龙,20:08,2019-02-06,广州南,19:04,1小时4分,"{'商务座': {'price': 452, 'count': 16, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6545
香港西九龙,21:34,2019-02-06,广州南,20:25,1小时9分,"{'二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 323, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}}",G6587
香港西九龙,22:29,2019-02-06,广州南,21:37,52分,"{'商务座': {'price': 645, 'count': 3, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 2, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '一等座': {'price': 344, 'count': 1, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}}",G99
香港西九龙,07:43,2019-02-07,广州南,06:48,55分,"{'商务座': {'price': 432, 'count': 13, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 187, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 261, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6501
